                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 4.1634,                  7.256,                 4.2695,                0.47192,                0.22761,                0.22627,                0.07926,                 2.9298,                 2.3998,                 2.5764,               0.070229,              0.0033079,              0.0033079
                      2,                 2.3431,                 1.8572,                 1.8208,                0.48946,                0.42958,                0.38143,                0.15489,                 2.2742,                 2.5934,                 1.8863,               0.040207,              0.0066193,              0.0066193
                      3,                 2.0249,                 1.5847,                 1.5726,                0.41117,                0.50193,                0.40674,                0.17785,                 1.9689,                 9.7146,                  1.626,               0.010163,              0.0099087,              0.0099087
                      4,                  1.807,                 1.3815,                  1.384,                 0.7901,                0.55876,                0.64013,                0.37404,                 1.4968,                  1.532,                 1.2745,               0.009901,               0.009901,               0.009901
                      5,                 1.5993,                 1.1478,                 1.2656,                0.80073,                0.55043,                0.64093,                0.39886,                 1.3792,                 1.2369,                 1.2098,               0.009901,               0.009901,               0.009901
                      6,                 1.5089,                   1.09,                 1.2216,                0.81518,                0.59923,                0.70529,                0.42142,                 1.3561,                 1.0055,                 1.1695,               0.009868,               0.009868,               0.009868
                      7,                 1.4282,                0.99719,                 1.1782,                0.82156,                0.63563,                0.72156,                0.45812,                 1.2589,                 1.2127,                 1.1366,               0.009835,               0.009835,               0.009835
                      8,                 1.3791,                0.94562,                 1.1625,                0.84236,                0.64564,                0.76251,                0.47762,                 1.2597,                0.93333,                 1.1327,               0.009802,               0.009802,               0.009802
                      9,                  1.333,                0.90906,                 1.1513,                0.87097,                0.62095,                0.71135,                0.46719,                 1.1881,                0.92198,                  1.128,               0.009769,               0.009769,               0.009769
                     10,                 1.2874,                0.86303,                 1.1297,                0.85518,                0.65359,                0.75936,                0.46058,                 1.2715,                0.92086,                 1.1175,               0.009736,               0.009736,               0.009736
                     11,                 1.2599,                0.84332,                 1.1181,                0.82995,                0.67123,                0.77197,                0.49785,                 1.1549,                0.79845,                 1.0851,               0.009703,               0.009703,               0.009703
                     12,                 1.2395,                0.81846,                 1.1103,                0.84612,                0.70182,                0.79667,                0.53296,                 1.1046,                0.77304,                 1.0768,                0.00967,                0.00967,                0.00967
                     13,                 1.2168,                0.80095,                 1.1054,                0.85995,                0.69239,                0.79797,                0.52002,                 1.1072,                0.74753,                  1.081,               0.009637,               0.009637,               0.009637
                     14,                 1.2112,                0.80143,                 1.0996,                0.86378,                 0.6989,                0.81611,                0.54304,                 1.0966,                0.73649,                   1.07,               0.009604,               0.009604,               0.009604
                     15,                 1.1917,                0.78966,                 1.0929,                0.86291,                 0.7111,                0.81475,                 0.5493,                 1.0778,                0.74196,                 1.0666,               0.009571,               0.009571,               0.009571
                     16,                 1.1755,                0.75962,                 1.0731,                0.86632,                0.72121,                0.82674,                  0.553,                 1.0865,                0.71788,                 1.0683,               0.009538,               0.009538,               0.009538
                     17,                  1.155,                0.75596,                 1.0795,                 0.8717,                0.70336,                0.82561,                0.54966,                  1.076,                0.73132,                 1.0591,               0.009505,               0.009505,               0.009505
                     18,                 1.1636,                0.76053,                 1.0849,                0.87028,                0.71705,                0.82569,                0.56106,                  1.069,                0.72098,                 1.0568,               0.009472,               0.009472,               0.009472
                     19,                 1.1409,                0.73747,                 1.0733,                0.87425,                0.71775,                0.81455,                0.56117,                 1.0149,                0.69614,                 1.0462,               0.009439,               0.009439,               0.009439
                     20,                 1.1273,                0.73244,                 1.0714,                0.87647,                0.73431,                0.83329,                0.55159,                 1.0992,                0.71269,                  1.059,               0.009406,               0.009406,               0.009406
                     21,                 1.1171,                0.71282,                 1.0535,                0.87326,                0.73799,                0.84555,                0.57858,                 1.0171,                0.66788,                 1.0369,               0.009373,               0.009373,               0.009373
                     22,                  1.105,                0.72148,                 1.0661,                0.85529,                0.74736,                 0.8335,                0.57898,                0.98504,                0.65896,                 1.0311,                0.00934,                0.00934,                0.00934
                     23,                 1.1059,                 0.7057,                  1.056,                0.86977,                0.74561,                0.84391,                0.56776,                 1.0894,                0.66689,                 1.0512,               0.009307,               0.009307,               0.009307
                     24,                 1.1008,                0.70369,                 1.0496,                 0.8994,                0.73949,                0.84721,                0.57811,                 1.0113,                 0.6695,                  1.034,               0.009274,               0.009274,               0.009274
