                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 4.2111,                 7.3216,                 4.3412,                0.24227,                0.21154,                0.13256,                0.03524,                 3.3038,                 2.2408,                 2.5986,               0.070229,              0.0033079,              0.0033079
                      2,                 2.3635,                 1.8922,                 1.8591,                0.54697,                  0.444,                0.39791,                0.18592,                 2.0389,                 3.4901,                 1.6643,               0.040207,              0.0066193,              0.0066193
                      3,                 1.9866,                 1.5913,                 1.5377,                0.46366,                0.54597,                0.47453,                0.23103,                 1.8531,                 11.338,                 1.6191,               0.010163,              0.0099087,              0.0099087
                      4,                 1.8125,                 1.3688,                 1.3841,                0.80956,                 0.5426,                0.64006,                 0.3569,                 1.6068,                 1.5515,                 1.3209,               0.009901,               0.009901,               0.009901
                      5,                 1.6193,                 1.1611,                 1.2744,                0.83288,                0.54567,                0.65867,                0.40137,                 1.3937,                 1.2348,                 1.2178,               0.009901,               0.009901,               0.009901
                      6,                 1.5274,                  1.077,                 1.2279,                0.83068,                0.61143,                0.71372,                0.41755,                 1.4323,                 1.0654,                 1.1968,               0.009868,               0.009868,               0.009868
                      7,                 1.4509,                0.98822,                 1.1894,                0.85494,                0.61708,                0.73077,                0.43623,                 1.3455,                 1.0246,                 1.1725,               0.009835,               0.009835,               0.009835
                      8,                 1.3735,                0.93706,                 1.1594,                0.82264,                0.60583,                0.71377,                0.38865,                 1.5058,                 1.0726,                  1.208,               0.009802,               0.009802,               0.009802
                      9,                 1.3386,                0.91312,                 1.1532,                0.86316,                0.65695,                0.76652,                0.48357,                 1.1863,                0.88165,                 1.1083,               0.009769,               0.009769,               0.009769
                     10,                 1.2926,                0.86915,                 1.1315,                0.77976,                0.60161,                0.67792,                0.39606,                  1.281,                0.99311,                 1.1167,               0.009736,               0.009736,               0.009736
                     11,                 1.2747,                0.84471,                 1.1205,                0.86474,                0.65815,                0.77006,                0.48219,                 1.2141,                0.85065,                 1.1103,               0.009703,               0.009703,               0.009703
                     12,                 1.2452,                0.82667,                 1.1114,                0.77059,                0.54569,                0.64388,                0.40593,                 1.3105,                 1.1912,                 1.1687,                0.00967,                0.00967,                0.00967
                     13,                 1.2182,                0.79306,                 1.1039,                0.87602,                0.68938,                0.80666,                0.51425,                 1.1433,                0.74538,                 1.0797,               0.009637,               0.009637,               0.009637
                     14,                 1.2227,                0.80502,                 1.1063,                0.86906,                0.71556,                0.82038,                0.54415,                 1.1001,                0.73719,                 1.0713,               0.009604,               0.009604,               0.009604
                     15,                 1.1979,                0.78909,                  1.095,                0.85465,                0.71028,                0.81038,                0.53868,                 1.0888,                0.75252,                 1.0806,               0.009571,               0.009571,               0.009571
                     16,                 1.1801,                0.76237,                 1.0756,                0.84554,                0.69057,                0.80366,                0.49562,                 1.1889,                0.75774,                 1.0928,               0.009538,               0.009538,               0.009538
                     17,                 1.1601,                 0.7613,                 1.0792,                0.85843,                0.68968,                0.80825,                0.54044,                 1.0465,                0.74403,                 1.0505,               0.009505,               0.009505,               0.009505
                     18,                 1.1574,                 0.7548,                 1.0816,                0.86401,                0.71455,                0.81456,                0.55617,                 1.0551,                0.70455,                  1.055,               0.009472,               0.009472,               0.009472
