                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 5.7979,                 7.1069,                 4.3178,                0.29141,                0.25171,                0.17044,                0.05748,                 3.7599,                 2.2018,                 2.6011,               0.070229,              0.0033079,              0.0033079
                      2,                 2.8444,                 2.0215,                 1.8667,                0.62889,                0.46712,                0.48794,                0.22598,                 2.3546,                 1.9168,                 1.6442,               0.040207,              0.0066193,              0.0066193
                      3,                 2.3651,                 1.6662,                 1.5581,                0.12206,                0.25736,                 0.0779,                0.03196,                 2.4306,                 5.7613,                 1.6009,               0.010163,              0.0099087,              0.0099087
                      4,                 2.1113,                 1.4373,                  1.379,                 0.7289,                0.54156,                 0.6122,                0.35288,                  1.708,                 2.2407,                 1.2728,               0.009901,               0.009901,               0.009901
                      5,                 1.8473,                 1.1972,                 1.2617,                0.81393,                0.54359,                0.65122,                0.37731,                  1.586,                 1.7093,                 1.1918,               0.009901,               0.009901,               0.009901
                      6,                 1.7323,                 1.0978,                 1.2183,                0.83175,                0.56628,                0.69219,                0.42778,                 1.5045,                 1.0167,                 1.1772,               0.009868,               0.009868,               0.009868
                      7,                 1.6388,                 1.0198,                 1.1853,                 0.8024,                 0.6025,                0.69083,                0.37378,                 1.7357,                 1.1277,                 1.2231,               0.009835,               0.009835,               0.009835
                      8,                  1.553,                0.95802,                 1.1516,                0.79619,                0.62571,                0.70206,                 0.3649,                 1.8172,                 1.1677,                 1.2066,               0.009802,               0.009802,               0.009802
                      9,                 1.5081,                0.92251,                 1.1413,                 0.8431,                 0.6501,                0.76337,                0.48873,                 1.3759,                0.83664,                  1.112,               0.009769,               0.009769,               0.009769
                     10,                 1.4527,                0.86562,                 1.1201,                0.81199,                0.64296,                0.73896,                0.44353,                 1.4498,                0.85904,                 1.1245,               0.009736,               0.009736,               0.009736
                     11,                 1.4233,                0.85111,                 1.1087,                0.83886,                0.66756,                0.77248,                0.51523,                  1.265,                0.79703,                 1.0802,               0.009703,               0.009703,               0.009703
                     12,                 1.3822,                0.82762,                 1.0962,                0.85785,                0.70565,                0.80641,                0.52398,                 1.3036,                0.78758,                 1.0898,                0.00967,                0.00967,                0.00967
                     13,                 1.3597,                 0.8043,                 1.0945,                0.84749,                0.64315,                0.74765,                0.46282,                  1.398,                0.82624,                 1.0894,               0.009637,               0.009637,               0.009637
