                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 4.2524,                 7.2228,                 4.2433,                0.34724,                0.24189,                0.20692,                0.07505,                 2.8824,                 2.0694,                 2.4386,               0.070229,              0.0033079,              0.0033079
                      2,                 2.3308,                 1.8484,                 1.7762,                0.64959,                0.45611,                0.48085,                0.21632,                 2.0627,                 2.4026,                 1.6559,               0.040207,              0.0066193,              0.0066193
                      3,                 2.0347,                 1.6225,                 1.5453,                0.55224,                0.47159,                0.47468,                0.25614,                  1.689,                  5.216,                 1.4169,               0.010163,              0.0099087,              0.0099087
                      4,                  1.836,                 1.3725,                 1.3749,                 0.7714,                0.55222,                0.62216,                0.33737,                 1.5954,                 1.3747,                 1.2794,               0.009901,               0.009901,               0.009901
                      5,                 1.6166,                 1.1425,                  1.261,                0.83685,                0.55132,                0.66694,                0.41097,                 1.3513,                 1.0895,                 1.1833,               0.009901,               0.009901,               0.009901
                      6,                 1.5368,                 1.0684,                  1.217,                0.78681,                0.60428,                0.69749,                0.42976,                 1.3504,                0.98286,                 1.1669,               0.009868,               0.009868,               0.009868
                      7,                   1.45,                0.98136,                 1.1755,                0.78747,                0.59971,                0.69737,                0.38975,                 1.4746,                 1.3993,                 1.2009,               0.009835,               0.009835,               0.009835
                      8,                 1.3924,                0.93848,                  1.163,                0.80393,                0.58346,                0.66349,                0.42846,                 1.2496,                0.93111,                 1.1333,               0.009802,               0.009802,               0.009802
                      9,                 1.3487,                0.91175,                 1.1491,                0.84436,                0.64242,                 0.7349,                0.48065,                 1.1759,                0.89333,                 1.1038,               0.009769,               0.009769,               0.009769
                     10,                 1.3029,                0.85794,                 1.1253,                0.83372,                0.63969,                0.74567,                0.45073,                 1.2608,                0.83583,                 1.1087,               0.009736,               0.009736,               0.009736
