                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 4.3256,                 7.2603,                 4.3127,                 0.2916,                0.16394,                 0.1155,                0.03773,                 3.4376,                 2.5954,                 2.7466,               0.070229,              0.0033079,              0.0033079
                      2,                 2.3543,                 1.8839,                 1.8159,                0.52441,                0.39007,                0.37647,                0.17524,                 2.0535,                 3.1501,                 1.6528,               0.040207,              0.0066193,              0.0066193
                      3,                 2.0154,                 1.6175,                 1.5413,                0.61146,                 0.5296,                 0.5326,                0.28381,                  1.705,                 8.3728,                 1.4139,               0.010163,              0.0099087,              0.0099087
                      4,                  1.847,                 1.3858,                 1.3903,                  0.783,                 0.5299,                0.61895,                0.34296,                 1.6325,                  1.939,                 1.3093,               0.009901,               0.009901,               0.009901
                      5,                 1.6264,                 1.1712,                 1.2722,                 0.7789,                0.54508,                0.64901,                0.37579,                 1.4136,                 1.3401,                  1.204,               0.009901,               0.009901,               0.009901
                      6,                 1.5412,                 1.0735,                 1.2251,                0.83316,                 0.6077,                0.71608,                0.43085,                 1.3865,                0.96803,                 1.1848,               0.009868,               0.009868,               0.009868
                      7,                 1.4509,                0.99858,                 1.1852,                 0.8265,                0.60071,                0.71317,                0.43737,                 1.3229,                 1.2256,                 1.1653,               0.009835,               0.009835,               0.009835
                      8,                 1.3843,                0.93636,                 1.1627,                0.84895,                0.63523,                0.75192,                0.46995,                 1.2984,                0.94216,                 1.1384,               0.009802,               0.009802,               0.009802
                      9,                 1.3446,                0.90896,                   1.15,                0.82902,                0.62422,                0.72337,                0.42663,                  1.307,                 0.9511,                 1.1295,               0.009769,               0.009769,               0.009769
                     10,                 1.2959,                0.86019,                 1.1253,                0.85082,                0.62953,                0.73586,                0.42382,                 1.3224,                0.86653,                 1.1271,               0.009736,               0.009736,               0.009736
                     11,                 1.2776,                0.83613,                 1.1193,                0.86381,                0.69235,                0.79933,                0.53181,                 1.1108,                0.77214,                 1.0739,               0.009703,               0.009703,               0.009703
                     12,                 1.2415,                0.81939,                 1.1061,                 0.8714,                0.70968,                0.82143,                0.54444,                 1.1021,                0.73375,                 1.0671,                0.00967,                0.00967,                0.00967
                     13,                 1.2177,                0.79788,                 1.1005,                0.83732,                 0.6983,                0.79643,                0.51114,                  1.176,                0.77251,                 1.0921,               0.009637,               0.009637,               0.009637
