                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
1,3.3018,6.7416,4.1893,0.28918,0.24487,0.17212,0.06076,1.901,2.2487,2.4132,0.070229,0.0033079,0.0033079
2,1.4029,1.8941,1.7705,0.68572,0.47066,0.50156,0.25712,1.0362,1.43,1.5151,0.040207,0.0066193,0.0066193
3,1.1054,1.5503,1.4836,0.54441,0.46682,0.44327,0.19892,1.1084,5.9876,1.5481,0.010163,0.0099087,0.0099087
4,0.98541,1.3407,1.3557,0.73198,0.50948,0.59345,0.3052,0.8987,1.5909,1.3833,0.009901,0.009901,0.009901
5,0.84987,1.1727,1.2757,0.74697,0.53585,0.58311,0.37196,0.66559,1.7775,1.2013,0.009868,0.009868,0.009868
6,0.76668,1.0503,1.2223,0.83789,0.62868,0.74563,0.44066,0.6858,0.96528,1.1973,0.009835,0.009835,0.009835
7,0.72183,0.97839,1.1777,0.82023,0.57422,0.68298,0.38115,0.77491,1.0472,1.2251,0.009802,0.009802,0.009802
8,0.70125,0.94678,1.1619,0.80474,0.66796,0.7601,0.45225,0.64706,1.0096,1.1523,0.009769,0.009769,0.009769
9,0.68699,0.91821,1.1505,0.85058,0.62481,0.72286,0.4724,0.60307,0.88378,1.128,0.009736,0.009736,0.009736
10,0.65871,0.8872,1.1396,0.82058,0.63969,0.74735,0.44732,0.65737,0.92311,1.1344,0.009703,0.009703,0.009703
11,0.64191,0.86494,1.1275,0.86223,0.68105,0.78872,0.48555,0.58904,0.80611,1.0947,0.00967,0.00967,0.00967
12,0.61823,0.81665,1.1061,0.86427,0.68134,0.79805,0.50881,0.56622,0.77254,1.0901,0.009637,0.009637,0.009637
13,0.60375,0.81429,1.1039,0.85824,0.68968,0.80466,0.48118,0.63897,0.78996,1.1205,0.009604,0.009604,0.009604
